NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
Herra Heinämäki ja Leijonatuuliviiri;Herra Heinämäki ja Leijonatuuliviiri;23.12.2011;45 491;The Walt Disney Company Nordic;SUOMI
Sherlock Holmes: A game of Shadows;Sherlock Holmes: A game of Shadows;23.12.2011;163 449;FS Film Oy;USA
Täältä tulee Myyrä;Krtek;23.12.2011;4 760;Future Film;TSEKINMAA
Alvin ja pikkuoravat 3;Alvin and the Chipmunks: Chip-Wrecked;16.12.2011;78 051;FS Film Oy;USA
Avain Italiaan;Avain Italiaan;16.12.2011;10 665;Nordisk Film Theatrical Distribution Oy;SUOMI-USA-ITALIA
Hysteria;Hysteria;16.12.2011;15 064;Scanbox Finland Oy;USA
Superclásico;Superclásico;16.12.2011;4 833;Bio Rex Cinemas;TANSKA
Attack The Block;Attack The Block;9.12.2011;1 592;Atlantic Film Oy;ENGLANTI
Hiljaisuus;Hiljaisuus;9.12.2011;32 552;The Walt Disney Company Nordic;SUOMI
New Year´s Eve;New Year´s Eve;9.12.2011;68 651;FS Film Oy;USA
Trespass;Trespass;9.12.2011;3 601;Future Film;USA
George Harrison - Living in the Material World;George Harrison - Living in the Material World;4.12.2011;185;Nordisk Film Theatrical Distribution Oy;USA
Happy Feet 2;Happy Feet 2;2.12.2011;30 793;FS Film Oy;USA
Moneyball;Moneyball;2.12.2011;5 841;The Walt Disney Company Nordic;USA
Real Steel;Real Steel;2.12.2011;16 621;The Walt Disney Company Nordic;USA
Artturi Joulu;Arthur Christmas;25.11.2011;22 269;The Walt Disney Company Nordic;USA
In Time;In Time;25.11.2011;40 020;FS Film Oy;USA
Poliss;Poliss;25.11.2011;2 409;Cinema Mondo Oy;RANSKA
Risto;Risto;25.11.2011;14 307;Scanbox Finland Oy;SUOMI
Tower Heist;Tower Heist;25.11.2011;42 874;Finnkino Oy;USA
The Girl With The Dragon Tattoo;The Girl With The Dragon Tattoo;23.11.2011;66 663;The Walt Disney Company Nordic;USA
Maaginen kristalli;Maaginen kristalli;18.11.2011;16 865;Future Film;SUOMI-BELGIA
Nader ja Simin: ero;Jodaeiye Nader az Simin;18.11.2011;12 289;Cinema Mondo Oy;IRAN
The Thing;The Thing;18.11.2011;8 004;Finnkino Oy;USA
Twilight Saga: Aamunkoi osa 1;The Twilight Saga: Breaking Dawn - Part 1;18.11.2011;194 260;Nordisk Film Theatrical Distribution Oy;USA
Hiljaa toivotut;Hiljaa toivotut;11.11.2011;1 062;SUOMEN Elokuvakontakti R;SUOMI
Ikuisesti sinun;Ikuisesti sinun;11.11.2011;4 977;Pirkanmaan Elokuvakeskus;SUOMI
Immortals;Immortals;11.11.2011;23 431;Nordisk Film Theatrical Distribution Oy;USA
Pedon jäljillä;Jägarna 2;11.11.2011;8 000;FS Film Oy;RUOTSI
Kate Reddy - Täydellä teholla yötä päivää;I Don't Know How She Does It;4.11.2011;10 286;Future Film;USA
Neds;Neds;4.11.2011;2 366;Cinema Mondo Oy;ENGLANTI
Paranormal Activity 3;Paranormal Activity 3;4.11.2011;34 292;Finnkino Oy;USA
Tintin seikkailut: Yksisarvisen salaisuus;The Adventures of Tintin: The Secret of the Un;4.11.2011;143 460;The Walt Disney Company Nordic;USA
Där vi en gång gått;Där vi en gång gått;28.10.2011;46 219;Scanbox Finland Oy;SUOMI
Footloose;Footloose;28.10.2011;4 484;Finnkino Oy;USA
Kätkijät;Kari-gurashi no Arietti;28.10.2011;29 784;Cinema Mondo Oy;JAPANI
Pieniä valkoisia valheita;Les Petits mouchoirs;28.10.2011;2 682;Atlantic Film Oy;RANSKA
Sinun numerosi? - Kuinka monta on liian pajon?;What's Your Number;28.10.2011;14 049;FS Film Oy;USA
Kolme Muskettisoturia 3D;The Three Musketeers 3D;21.10.2011;31 583;FS Film Oy;USA-ENGLANTI-RANSKA
Kotirauha;Kotirauha;21.10.2011;38 226;Nordisk Film Theatrical Distribution Oy;SUOMI
Tartunta;Contagion;21.10.2011;35 191;FS Film Oy;USA
The Guard;The Guard;21.10.2011;2 386;Scanbox Finland Oy;IRLANTI
Elias ja Aarrejahti;Elias og jakten på havets gull;14.10.2011;2 872;FS Film Oy;NORJA
Iho jossa elän;La Piel que habito;14.10.2011;31 236;Future Film;ESPANJA
Johnny English - Uudestisyntynyt;Johnny English Reborn;14.10.2011;279 283;Finnkino Oy;ENGLANTI
One Day;One Day;14.10.2011;16 547;FS Film Oy;USA
Siepattu;Abduction;14.10.2011;7 901;Nordisk Film Theatrical Distribution Oy;USA
Drive;Drive;7.10.2011;36 127;FS Film Oy;USA
Kuka, ellemme me?;Wer wenn nicht wir?;7.10.2011;973;Atlantic Film Oy;SAKSA
Piiat;The Help;7.10.2011;33 233;The Walt Disney Company Nordic;USA
Syvälle salattu;Syvälle salattu;7.10.2011;32 039;Nordisk Film Theatrical Distribution Oy;SUOMI
Headhunters;Hodejegerne;30.9.2011;9 854;Nordisk Film Theatrical Distribution Oy;NORJA
Matka Edeniin;Matka Edeniin;30.9.2011;1 067;Pirkanmaan Elokuvakeskus;SUOMI
Sade kuuluu meille;También la lluvia;30.9.2011;6 233;Cinema Mondo Oy;ESPANJA
Vain seksiä;Friends with Benefits;30.9.2011;40 115;The Walt Disney Company Nordic;USA
Likainen Pommi;Likainen Pommi;23.9.2011;7 302;FS Film Oy;SUOMI
Nalle Puhin elokuva - uudet seikkailut;Winnie the Pooh;23.9.2011;66 240;The Walt Disney Company Nordic;USA
Pina;Pina;23.9.2011;10 952;Bio Rex Cinemas;SAKSA-RANSKA
The Change-Up;The Change-Up;23.9.2011;20 522;Finnkino Oy;USA
Älä pelkää pimeää;Don't Be Afraid of the Dark;23.9.2011;5 512;Future Film;USA
Apinatytöt;Apflickorna;19.9.2011;1 848;Kinoscreen Illusion;RUOTSI
Ella & Aleksi - Yllätyssynttärit;Ella & Aleksi - Yllätyssynttärit;16.9.2011;9 481;Nordisk Film Theatrical Distribution Oy;SUOMI
Final Destination 5;Final Destination 5;16.9.2011;5 846;FS Film Oy;USA
Zookeeper;Zookeeper;16.9.2011;4 434;The Walt Disney Company Nordic;USA
Colombiana;Colombiana;9.9.2011;9 506;Scanbox Finland Oy;USA
Cowboys & Aliens;Cowboys & Aliens;9.9.2011;23 389;Finnkino Oy;USA
Hölmö, Hullu, Rakkaus;Crazy, Stupid, Love.;9.9.2011;32 885;FS Film Oy;USA
Le Havre;Le Havre;9.9.2011;129 219;Future Film;SUOMI-RANSKA-SAKSA
Sairaan onnellinen;Sykt lykkelig;9.9.2011;2 191;Bio Rex Cinemas;NORJA
Illusionisti;L'Illusionniste;2.9.2011;3 373;Atlantic Film Oy;RANSKA-ENGLANTI
Kolme;Drei;2.9.2011;575;Future Film;SAKSA
Pussikaljaelokuva;Pussikaljaelokuva;2.9.2011;79 994;Nordisk Film Theatrical Distribution Oy;SUOMI
Smurffit;The Smurfs;2.9.2011;144 465;The Walt Disney Company Nordic;USA
Win Win;Win Win;2.9.2011;2 786;FS Film Oy;USA
Conan the Barbarian;Conan the Barbarian;26.8.2011;12 564;Future Film;USA
Iris;Iris;26.8.2011;16 810;Sandrew Metronome Dist.;SUOMI
Larry Crowne - Uusi Mahdollisuus;Larry Crowne - Uusi Mahdollisuus;26.8.2011;8 301;FS Film Oy;USA
Midnight In Paris;Midnight In Paris;26.8.2011;62 027;Scanbox Finland Oy;USA
The Tree Of Life;The Tree Of Life;26.8.2011;25 593;FS Film Oy;USA
Captain America: First Avenger;Captain America: First Avenger;19.8.2011;25 160;Finnkino Oy;USA
Elämä ennen kaikkea;Life, Above All;19.8.2011;3 964;Atlantic Film Oy;ETELÄ-AFRIKKA
Kaameat Pomot;Horrible Bosses;19.8.2011;42 417;FS Film Oy;USA
Apinoiden Planeetan Synty;Rise of the Planet of the Apes;12.8.2011;66 561;FS Film Oy;USA
Autot 2;Cars 2;12.8.2011;253 662;The Walt Disney Company Nordic;USA
Mama Africa;Mama Africa;12.8.2011;8 702;FS Film Oy;SAKSA-SUOMI
Green Lantern;Green Lantern;5.8.2011;14 042;FS Film Oy;USA
Trust;Trust;5.8.2011;632;Future Film;USA
Vares - Sukkanauhakäärme;Vares - Sukkanauhakäärme;5.8.2011;88 891;Nordisk Film Theatrical Distribution Oy;SUOMI
Herra Popper ja Pingviinit;Mr. Popper's Penguins;29.7.2011;42 671;FS Film Oy;USA
Roskisprinssi;Roskisprinssi;29.7.2011;27 759;The Walt Disney Company Nordic;SUOMI
Super 8;Super 8;29.7.2011;21 994;Finnkino Oy;USA
Merelle;Alamar;22.7.2011;4 826;Cinema Mondo Oy;MEKSIKO
Morsiusneidot;Bridesmaids;22.7.2011;54 893;Finnkino Oy;USA
Viimeinen sirkus;Balada triste de trompeta;15.7.2011;3 216;Future Film;ESPANJA-RANSKA
Harry Potter ja kuoleman varjelukset, osa 2;Harry Potter and the Deathly Hallows: Part 2;13.7.2011;386 520;FS Film Oy;ENGLANTI-USA
Norwegian Wood;Noruwei no mori;8.7.2011;8 219;Cinema Mondo Oy;JAPANI
Tapaus Punahilkka 2;Hoodwinked Too! Hood VS. Evil;8.7.2011;1 748;Future Film;USA
Potiche - Aivovaimo;Potiche;1.7.2011;5 737;Scanbox Finland Oy;RANSKA
Savannijengi;Konferenz der Tiere;1.7.2011;14 774;FS Film Oy;SAKSA
Transformers 3: Kuun pimeä puoli;Transformers 3: Dark of the Moon;29.6.2011;92 546;Finnkino Oy;USA
Bad Teacher;Bad Teacher;24.6.2011;80 663;The Walt Disney Company Nordic;USA
The Resident;The Resident;24.6.2011;3 906;Nordisk Film Theatrical Distribution Oy;USA
Heartbreaker;L'Arnacoeur;17.6.2011;11 855;Atlantic Film Oy;USA
Klovni - Kyllä nolottaa;Klovn: The Movie;17.6.2011;11 201;Bio Rex Cinemas;TANSKA
Unknown;Unknown;17.6.2011;8 484;FS Film Oy;ENGLANTI-SAKSA
Kung Fu Panda 2;Kung Fu Panda 2;10.6.2011;130 313;Finnkino Oy;USA
Paul;Paul;10.6.2011;10 000;Finnkino Oy;USA
Priest;Priest;10.6.2011;8 384;The Walt Disney Company Nordic;USA
Rakkaus Lainassa;Something Borrowed;10.6.2011;14 552;FS Film Oy;USA
Hanna;Hanna;3.6.2011;12 164;The Walt Disney Company Nordic;USA
Melancholia;Melancholia;3.6.2011;21 479;Nordisk Film Theatrical Distribution Oy;TANSKA-RUOTSI
X-Men: First Class;X-Men: First Class;3.6.2011;34 972;FS Film Oy;USA
Kauhea Kankkunen 2;The Hangover Part II;27.5.2011;146 346;FS Film Oy;USA
Tamara Drewe;Tamara Drewe;27.5.2011;5 374;Future Film;ENGLANTI
Majava;The Beaver;20.5.2011;1 100;Nordisk Film Theatrical Distribution Oy;USA
Pirates Of The Caribbean: vierailla vesillä;Pirates of the Caribbean: On Stranger Tides;18.5.2011;359 463;The Walt Disney Company Nordic;USA
Hall Pass - Lupa Rellestää;Hall Pass;13.5.2011;7 617;FS Film Oy;USA
Source Code;Source Code;13.5.2011;16 355;Sandrew Metronome Dist.;USA
Ole Luonani Aina;Never Let Me Go;6.5.2011;8 004;FS Film Oy;ENGLANTI-USA
Fast & Furious 5;Fast Five;4.5.2011;91 977;Finnkino Oy;USA
Thor;Thor;4.5.2011;31 352;Finnkino Oy;USA
Miral;Miral;29.4.2011;2 346;Scanbox Finland Oy;RANSKA
Oikeuden palvelija;The Lincoln Lawyer;29.4.2011;8 436;Future Film;USA
Pikku kummitus Lapanen ja setä Riukuliini;Var inte rädd, Långa Farbrorn;29.4.2011;7 163;Nordisk Film Theatrical Distribution Oy;RUOTSI
Päiväni Margueritten kanssa;La Tête en friche;29.4.2011;12 175;Atlantic Film Oy;RANSKA
Taistelu Turusta;Taistelu Turusta;29.4.2011;1 692;Pirkanmaan Elokuvakeskus;SUOMI
Hop;Hop;22.4.2011;19 052;Finnkino Oy;USA
Vares - Huhtikuun tytöt;Vares - Huhtikuun tytöt;22.4.2011;78 739;Nordisk Film Theatrical Distribution Oy;SUOMI
Vettä Elefanteille;Water for Elephants;22.4.2011;36 588;FS Film Oy;USA
Rio;Rio;15.4.2011;154 118;FS Film Oy;USA
Sceam 4;Sceam 4;15.4.2011;39 391;Scanbox Finland Oy;USA
Sucker Punch;Sucker Punch;15.4.2011;15 804;FS Film Oy;USA
Justin Bieber: Never Say Never;Justin Bieber: Never Say Never;8.4.2011;8 433;Finnkino Oy;USA
Oceans;Océans;8.4.2011;14 319;Atlantic Film Oy;RANSKA
Rajaton;Limitless;8.4.2011;39 156;Nordisk Film Theatrical Distribution Oy;USA
Red Riding Hood - Punahilkka;Red Riding Hood;8.4.2011;47 335;FS Film Oy;USA
Elokuu;Elokuu;1.4.2011;39 732;Nordisk Film Theatrical Distribution Oy;SUOMI
Huomenna sodan alettua;Tomorrow When The War Began;1.4.2011;608;Finnkino Oy;AUSTRALIA-USA
Nainen, pyssy ja nuudelipuoti;San qiang pai an jing qi;1.4.2011;800;Cinema Mondo Oy;KIINA
Sinkkuelämän säännöt;Sinkkuelämän säännöt;1.4.2011;3 002;Sandrew Metronome Dist.;SUOMI
World Invasion: Battle Los Angeles;Battle: Los Angeles;1.4.2011;21 278;The Walt Disney Company Nordic;USA
Arthur ja kaksi maailmaa;Arthur et la guerre des deux mondes;25.3.2011;12 999;Scanbox Finland Oy;RANSKA
Huuto;Howl;25.3.2011;1 677;Future Film;USA
Hyvä poika;Hyvä poika;25.3.2011;10 159;The Walt Disney Company Nordic;SUOMI
Sanctum;Sanctum;25.3.2011;24 116;FS Film Oy;USA-AUSTRALIA
I Am Number Four;I Am Number Four;18.3.2011;14 616;The Walt Disney Company Nordic;USA
Iltapäivä Toscanassa;Copie conforme;18.3.2011;16 058;Atlantic Film Oy;RANSKA-ITALIA-BELGIA
Rango;Rango;18.3.2011;44 419;Finnkino Oy;USA
Veljekset;Veljekset;18.3.2011;3 824;FS Film Oy;SUOMI
Kohtalon valvojat;The Adjustment Bureau;11.3.2011;25 979;Finnkino Oy;USA
Muiden hyväksi;El mal ajeno;11.3.2011;466;Cinema Mondo Oy;ESPANJA
Salla - Selling the Silence;Salla - Selling the Silence;11.3.2011;831;Pirkanmaan Elokuvakeskus;SUOMI
Sovinto;Svinalängorna;11.3.2011;51 944;Nordisk Film Theatrical Distribution Oy;RUOTSI-SUOMI
Black Swan;Black Swan;4.3.2011;170 155;FS Film Oy;USA
Gnomeo & Julia;Gnomeo & Juliet;4.3.2011;24 372;The Walt Disney Company Nordic;USA
Kaboom;Kaboom;4.3.2011;1 525;Cinema Mondo Oy;USA
The Rite;The Rite;4.3.2011;11 980;Sandrew Metronome Dist.;USA
"Rabbit Hole &#8722; takaisin elämään";Rabbit Hole;28.2.2011;1 571;Future Film;USA
Just Go With It;Just Go With It;26.2.2011;39 147;The Walt Disney Company Nordic;USA
Puu;The Tree;25.2.2011;3 187;Bio Rex Cinemas;RANSKA
Summer Wars;Samâ wôzu;25.2.2011;1 361;Finnkino Oy;JAPANI
Vuosi Elämästä;Another Year;25.2.2011;38 111;FS Film Oy;ENGLANTI
Eetu ja konna;Eetu ja konna;18.2.2011;16 427;Finnkino Oy;SUOMI
Gulliverin Matkat;Gulliver's Travels;18.2.2011;43 232;FS Film Oy;USA
Kotka;The Eagle;18.2.2011;5 189;Nordisk Film Theatrical Distribution Oy;USA
Kova kuin kivi;True Grit;18.2.2011;49 156;Finnkino Oy;USA
Kaksin karkuteillä;Tangled;11.2.2011;168 880;The Walt Disney Company Nordic;USA
Musta noita;Season of the Witch;11.2.2011;3 869;Nordisk Film Theatrical Distribution Oy;USA
Näin ystävien kesken;No Strings Attached;11.2.2011;44 285;Finnkino Oy;USA
The Way Back;The Way Back;11.2.2011;14 714;Scanbox Finland Oy;USA
Brighton Rock;Brighton Rock;4.2.2011;2 827;Cinema Mondo Oy;ENGLANTI
Burleski;Burlesque;4.2.2011;28 941;The Walt Disney Company Nordic;USA
Tuntematon emäntä;Tuntematon emäntä;4.2.2011;17 357;Pirkanmaan Elokuvakeskus;SUOMI
127 Tuntia;127 Hours;4.2.2011;38 042;FS Film Oy;USA-ENGLANTI
Hella W;Hella W;28.1.2011;85 320;Sandrew Metronome Dist.;SUOMI
Jogi-karhu;Yogi Bear;28.1.2011;80 975;Sandrew Metronome Dist.;USA
Taistelija;The Fighter;28.1.2011;12 531;Nordisk Film Theatrical Distribution Oy;USA
Winter's Bone;Winter's Bone;28.1.2011;10 092;Cinema Mondo Oy;USA
Animal Kingdom;Animal Kingdom;21.1.2011;2 527;Scanbox Finland Oy;AUSTRALIA
Biutiful;Biutiful;21.1.2011;13 736;Nordisk Film Theatrical Distribution Oy;MEKSIKO-ESPANJA
Kuninkaan Puhe;The King's Speech;21.1.2011;195 550;FS Film Oy;ENGLANTI
The Tourist;The Tourist;21.1.2011;62 046;The Walt Disney Company Nordic;USA
Hereafter;Hereafter;14.1.2011;16 484;Sandrew Metronome Dist.;USA
Morning Glory;Morning Glory;14.1.2011;12 928;Finnkino Oy;USA
Mä oon mikä oon;Somos lo que hay;14.1.2011;767;Cinema Mondo Oy;MEKSIKO
The Green Hornet;The Green Hornet;14.1.2011;18 104;The Walt Disney Company Nordic;USA
Jumalista ja ihmisistä;Des hommes et des dieux;7.1.2011;12 312;Cinema Mondo Oy;RANSKA
Saman katon alla;Life as We Know It;7.1.2011;16 732;Sandrew Metronome Dist.;USA
Vares - Pahan suudelma;Vares - Pahan suudelma;6.1.2011;204 203;Nordisk Film Theatrical Distribution Oy;SUOMI
Julian silmät;Los ojos de Julia;31.12.2010;15 375;Cinema Mondo Oy;ESPANJA
Love And Other Drugs;Love And Other Drugs;31.12.2010;45 640;FS Film Oy;USA
Pienin painajainen perheessä;Little Fockers;31.12.2010;23 768;Finnkino Oy;USA
Somewhere;Somewhere;31.12.2010;14 999;FS Film Oy;USA
Kirjeitä lapsuudestani;L'age de raison;25.12.2010;2 093;Future Film;RANSKA
Megamind;Megamind;25.12.2010;50 254;Finnkino Oy;USA
Narnian tarinat: Kaspianin matka maailman ääriin;Chronicles Of Narnia: Voyage Of The Dawn Treader;25.12.2010;91 940;FS Film Oy;USA
Täysihoito;De vrais mensonges;25.12.2010;10 922;Cinema Mondo Oy;RANSKA
Veijarit;Veijarit;25.12.2010;112 294;Nordisk Film Theatrical Distribution Oy;SUOMI
Ennen aikojaan;Get Low;17.12.2010;4 835;Scanbox Finland Oy;USA
Jouluksi kotiin;Hjem till Jul;17.12.2010;1 158;Sandrew Metronome Dist.;NORJA
Nukkumatti - seikkailu unimaassa;Das Sandmänchen - Abenteuer im Traumland;17.12.2010;10 992;Finnkino Oy;SAKSA-RANSKA
Tron: Perintö;Tron - Legacy;17.12.2010;37 206;The Walt Disney Company Nordic;USA
Machete;Machete;10.12.2010;10 503;The Walt Disney Company Nordic;USA
Skyline;Skyline;10.12.2010;2 004;Nordisk Film Theatrical Distribution Oy;USA
Kangastuksia;Les Amours Imaginaires;3.12.2010;2 532;Bio Rex Cinemas;KANADA
Kun silmäni mä auki saan;Cosa voglio di piu;3.12.2010;2 344;Cinema Mondo Oy;ITALIA
Rare Exports;Rare Exports;3.12.2010;251 861;FS Film Oy;SUOMI
Sammyn suuri seikkailu;Sammy's avonturen: De geheime doorgang;3.12.2010;32 088;FS Film Oy;BELGIA
Jackass 3D;Jackass 3D;26.11.2010;23 056;Finnkino Oy;USA
Katastrofikytät;The Other Guys;26.11.2010;10 497;The Walt Disney Company Nordic;USA
Sielunpelastajat;Sielunpelastajat;26.11.2010;221;Pirkanmaan Elokuvakeskus;SUOMI
The Next Three Days;The Next Three Days;26.11.2010;8 707;FS Film Oy;USA
Viimeinen manaus;The Last Exorcism;26.11.2010;1 389;Future Film;USA
Harry Potter ja kuoleman varjelukset osa 1;Harry Potter and the Deathly Hallows part 1;19.11.2010;322 529;Sandrew Metronome Dist.;USA
Hyvä sydän;The Good Heart;19.11.2010;938;Scanbox Finland Oy;TANSKA
Pariisin vainotut;La rafle;19.11.2010;2 903;Cinema Mondo Oy;RANSKA
ITO - kilvoittelijan päiväkirja;ITO - kilvoittelijan päiväkirja;12.11.2010;3 201;Cinema Mondo Oy;SUOMI
Piranha 3D;Piranha 3D;12.11.2010;4 622;Future Film;USA
RED;RED;12.11.2010;29 337;Nordisk Film Theatrical Distribution Oy;USA
The Town;The Town;12.11.2010;17 751;Sandrew Metronome Dist.;USA
Unstoppable - pysättämätön;Unstoppable;12.11.2010;7 811;FS Film Oy;USA
Devil;Devil;5.11.2010;5 145;Finnkino Oy;USA
Fair Game;Fair Game;5.11.2010;2 946;FS Film Oy;USA
I rymden finns inga känslor;I rymden finns inga känslor;5.11.2010;73;FS Film Oy;RUOTSI
Kosto;Hævnen;5.11.2010;15 587;Bio Rex Cinemas;TANSKA-RUOTSI
Laskettu aika;Due Date;5.11.2010;63 087;Sandrew Metronome Dist.;USA
Harjunpää ja pahan pappi;Harjunpää ja pahan pappi;29.10.2010;51 179;Nordisk Film Theatrical Distribution Oy;SUOMI
Ruotsalainen avioliitto;Det enda rationella;29.10.2010;10 457;Cinema Mondo Oy;RUOTSI-SUOMI
Saw VII 3D;Saw VII 3D;29.10.2010;30 386;Scanbox Finland Oy;USA-KANADA
You Will Meet A Tall Dark Stranger;You Will Meet A Tall Dark Stranger;29.10.2010;24 827;Scanbox Finland Oy;USA
Kiertue;Tourneé;22.10.2010;1 830;Cinema Mondo Oy;RANSKA
Paranormal Activity 2;Paranormal Activity 2;22.10.2010;25 072;Finnkino Oy;USA
The Social Network;The Social Network;22.10.2010;57 482;The Walt Disney Company Nordic;USA
Itse ilkimys;Despicable Me;15.10.2010;128 829;Finnkino Oy;USA
Napapiirin sankarit;Napapiirin sankarit;15.10.2010;384 392;Sandrew Metronome Dist.;SUOMI
Rakkautta italialaisittain;Io Sono L'amore;15.10.2010;7 643;Scanbox Finland Oy;ITALIA
Eat Pray Love;Eat Pray Love;8.10.2010;63 831;The Walt Disney Company Nordic;USA
Legenda suojelijoista;Legend of the Guardians: The Owls of Ga'Hoole;8.10.2010;13 655;Sandrew Metronome Dist.;USA
Tappaja sisälläni;The Killer Inside Me;8.10.2010;1 004;Future Film;USA
The American;The American;8.10.2010;12 758;FS Film Oy;USA
Buried;Buried;1.10.2010;11 684;Scanbox Finland Oy;ESPANJA
Mr. Nobody;Mr. Nobody;1.10.2010;20 231;Cinema Mondo Oy;RANSKA-BELGIA
Oikeesti aikuiset;Grown Ups;1.10.2010;15 573;The Walt Disney Company Nordic;USA
Scott Pilgrim vs. the World;Scott Pilgrim vs. the World;1.10.2010;15 996;Finnkino Oy;USA-ENGLANTI
Wall Street: Money Never Sleeps;Wall Street: Money Never Sleeps;1.10.2010;51 298;FS Film Oy;USA
Armadillo;Armadillo;24.9.2010;4 237;Bio Rex Cinemas;TANSKA
Gainsbourg - tarina legendasta;Gainsbourg (Vie héroïque);24.9.2010;3 229;FS Film Oy;RANSKA
Pom Poko;Heisei tanuki gassen pompoko;24.9.2010;2 645;Cinema Mondo Oy;JAPANI
The Kids Are All Right;The Kids Are All Right;24.9.2010;17 476;Scanbox Finland Oy;USA
Täällä Pohjantähden Alla II;Täällä Pohjantähden Alla II;24.9.2010;68 489;The Walt Disney Company Nordic;SUOMI
Resident Evil: Afterlife 3D;Resident Evil: Afterlife 3D;17.9.2010;34 440;The Walt Disney Company Nordic;USA
Vaihtamalla paranee;The Switch;17.9.2010;12 010;FS Film Oy;USA
Kaukorakkautta;Going the Distance;10.9.2010;6 486;Sandrew Metronome Dist.;USA
Prinsessa;Prinsessa;10.9.2010;297 011;Sandrew Metronome Dist.;SUOMI
The Last Airbender;The Last Airbender;10.9.2010;26 583;Finnkino Oy;USA
Enter The Void;Enter The Void;3.9.2010;4 265;Cinema Mondo Oy;RANSKA
Salt;Salt;3.9.2010;41 478;The Walt Disney Company Nordic;USA
Submarino;Submarino;3.9.2010;5 318;Sandrew Metronome Dist.;TANSKA-RUOTSI
Vampyyrien imussa;Vampires Suck;3.9.2010;23 915;FS Film Oy;USA
Vesku;Vesku;3.9.2010;37 448;FS Film Oy;SUOMI
Adéle Blanc-Secin uskomattomat seikkailut;LesAventures extraordinaires d'Adèle Blanc-Sec;27.8.2010;4 206;Nordisk Film Theatrical Distribution Oy;RANSKA
Soul Kitchen;Soul Kitchen;27.8.2010;4 112;Future Film;SAKSA
Toy Story 3;Toy Story 3;27.8.2010;214 060;The Walt Disney Company Nordic;USA
Karate Kid;The Karate Kid;20.8.2010;32 864;The Walt Disney Company Nordic;USA-KIINA
Keikkaa pukkaa;Get Him to The Greek;20.8.2010;178;Finnkino Oy;USA
Killers;Killers;20.8.2010;13 046;FS Film Oy;USA
22 Bullets;L'immortel;20.8.2010;2 849;Scanbox Finland Oy;RANSKA
Kissat ja koirat: Katti Katalan kosto;Cats and Dogs: Revenge of Kitty Galore;13.8.2010;49 981;Sandrew Metronome Dist.;USA
Micmacs;Micmacs à tire-larigot;13.8.2010;2 218;Scanbox Finland Oy;RANSKA
Sisko tahtoisin jäädä;Sisko tahtoisin jäädä;13.8.2010;137 921;Nordisk Film Theatrical Distribution Oy;SUOMI
The Expendables;The Expendables;13.8.2010;90 299;Future Film;USA
Muumi ja punainen pyrstötähti;Muumi ja punainen pyrstötähti;6.8.2010;35 451;FS Film Oy;SUOMI
Step Up 3D;Step Up 3D;6.8.2010;33 800;Nordisk Film Theatrical Distribution Oy;USA
Marmaduke;Marmaduke;30.7.2010;22 360;FS Film Oy;USA
Noidan oppipoika;The Sorcerer's Apprentice;30.7.2010;23 983;The Walt Disney Company Nordic;USA
Splice;Splice;30.7.2010;9 881;Cinema Mondo Oy;RANSKA-KANADA
Four Lions;Four Lions;23.7.2010;4 853;Future Film;ENGLANTI
Inception;Inception;23.7.2010;253 289;Sandrew Metronome Dist.;USA
Rakkauskirjeitä Julialle;Letters to Juliet;23.7.2010;7 000;Nordisk Film Theatrical Distribution Oy;USA
Knight & Day;Knight & Day;16.7.2010;71 357;FS Film Oy;USA
Kesähetket;L'heure d'été;9.7.2010;13 018;Cinema Mondo Oy;RANSKA
Predators;Predators;9.7.2010;32 630;FS Film Oy;USA
Shrek ja ikuinen onni;Shrek Forever After;9.7.2010;211 247;Finnkino Oy;USA
When You're Strange;When You're Strange;2.7.2010;6 272;Cinema Mondo Oy;USA
The Crazies;The Crazies;30.6.2010;3 596;Future Film;USA
Twilight - Epäilys;Twilight: Eclipse;30.6.2010;177 299;Nordisk Film Theatrical Distribution Oy;USA
Brooklyn's Finest;Brooklyn's Finest;18.6.2010;4 637;Future Film;USA
Hot Tub Time Machine - kasarikankkunen;Hot Tub Time Machine;18.6.2010;5 137;FS Film Oy;USA
Painajainen Elm Streetillä;A Nightmare on Elm Street;18.6.2010;6 820;Sandrew Metronome Dist.;USA
Youth in Revolt;Youth in Revolt;18.6.2010;7 213;Scanbox Finland Oy;USA
Aivan liian hotti;She's Out of My League;11.6.2010;8 794;Finnkino Oy;USA
Karvaturrit vastakarvaan;Furry Vengeance;11.6.2010;5 168;Nordisk Film Theatrical Distribution Oy;USA
The A-Team;The A-Team;11.6.2010;39 437;FS Film Oy;USA
Vähän kunnioitusta;Vähän kunnioitusta;11.6.2010;14 662;The Walt Disney Company Nordic;SUOMI
Harry Brown;Harry Brown;4.6.2010;1 699;Nordisk Film Theatrical Distribution Oy;ENGLANTI
Nanny McPhee ja suuri pamaus;Nanny McPhee and the Big Bang;4.6.2010;8 359;Finnkino Oy;ENGLANTI
Sinkkuelämää 2;Sex and the City 2;2.6.2010;328 286;Sandrew Metronome Dist.;USA
Pari kyttää;Cop Out;28.5.2010;4 410;Sandrew Metronome Dist.;USA
