Paikkakunta;Teatterinimi;Salit;Omistaja;Paikat;Osoite
Iisalmi ;KUVALIPAS;Kuvalipas;Savon Kinot Oy;259;Pohjolankatu 6, 74100 Iisalmi
Iitti;RAVILINNA;Ravilinna;Iitin kunta;154;Veteraanitie 2, 47400 Kausala
Ilomantsi;KINO MANTSI;Kino Mantsi;Ilomantsin kunta;143;Kauppatie 9, 82900 Ilomantsi
Imatra;BIO VUOKSI;Bio Vuoksi;Marlon Movies Oy;302; Torikatu 13, 55800 Imatra
Inari;ASLAK;Aslak;Inarin kunta;152;Ivalontie 18, 99800 Ivalo
Jalasjärvi;KINO JALASJÄRVI;Kino Jalasjärvi;Mukula ry;134;Keskustie 43, 61600 Jalasjärvi
Joensuu;ELOKUVATEATTERIKESKUS TAPIO;Tapio 1;Savon Kinot Oy;255;Kauppakatu 27, 80100 Joensuu
Joensuu;ELOKUVATEATTERIKESKUS TAPIO;Tapio 2;Savon Kinot Oy;217;Kauppakatu 27, 80100 Joensuu
Joensuu;ELOKUVATEATTERIKESKUS TAPIO;Tapio 3;Savon Kinot Oy;118;Kauppakatu 27, 80100 Joensuu
Joensuu;ELOKUVATEATTERIKESKUS TAPIO;Tapio 4;Savon Kinot Oy;62;Kauppakatu 27, 80100 Joensuu
Joutsa;JOUTSAN KINO;Joutsan Kino;Joutsan kunta;120;Jousitie 27, 19650 Joutsa
Juva;JUVAN KINO;Juvan Kino;Juvan kunta;176;Juvantie 20, 51900 Juva
Jyväskylä;FANTASIA;Fantasia 1;Finnkino Oy;296;Kauppakatu 29-31, 40100 Jyväskylä
Jyväskylä;FANTASIA;Fantasia 2;Finnkino Oy;68;Kauppakatu 29-31, 40100 Jyväskylä
Jyväskylä;FANTASIA;Fantasia 3;Finnkino Oy;56;Kauppakatu 29-31, 40100 Jyväskylä
Jyväskylä;FANTASIA;Fantasia 4;Finnkino Oy;158;Kauppakatu 29-31, 40100 Jyväskylä
Jyväskylä;FANTASIA;Fantasia 5;Finnkino Oy;137;Kauppakatu 29-31, 40100 Jyväskylä
Jyväskylä;FANTASIA;Fantasia 6;Finnkino Oy;88;Kauppakatu 29-31, 40100 Jyväskylä
Jyväskylän;KAMPUS KINO;Kampus Kino;yliopiston ylioppilaskunta;120;Rajakatu 35, 40200 Jyväskylä
Jämsä;KINOTAR;Kinotar 1;Jutuus Oy;250;Pääskyläntie 25, 42100 Jämsä
Jämsä;KINOTAR;Kinotar 2;Jutuus Oy;96;Pääskyläntie 25, 42100 Jämsä
Järvenpää;STUDIO 123;Studio 1;Järvenpään Studiot Oy;202;Helsingintie 12, 04440 Järvenpää
Järvenpää;STUDIO 123;Studio 2;Järvenpään Studiot Oy;85;Helsingintie 12, 04440 Järvenpää
Järvenpää;STUDIO 123;Studio 3;Järvenpään Studiot Oy;71;Helsingintie 12, 04440 Järvenpää
Kajaani;BIO REX KAJAANI;Bio Rex 1;Bio Rex Cinemas Oy;236;Kauppakatu 38, 87100 Kajaani
Kajaani;BIO REX KAJAANI;Bio Rex 2;Bio Rex Cinemas Oy;149;Kauppakatu 38, 87100 Kajaani
Kajaani;BIO REX KAJAANI;Bio Rex 3;Bio Rex Cinemas Oy;79;Kauppakatu 38, 87100 Kajaani
Kangasala;K-KINO;K-Kino;Kangasalan kunta;285;Kuohunharjuntie 6, 36201 Kangasala
Kangasniemi;KANGASTUS;Kangastus;Kangasniemen kunta;197;Otto Mannisen tie 2, 51200 Kangasniemi
Karstula;SUOJAN  ELOKUVAT;Suojan  Elokuvat;Karstulan Kiva ry;104;Pylkönmäentie 1, 43500 Karstula
Kauhajoki;BIO MARLON;Bio Marlon;Bio Marlon;162;Topeeka 37, 61800 Kauhajoki
Kauhava;Y-KINO;Y-Kino;IPE Oy;100;Kauppatie 109, 62200 Kauhava
Kauhava;MAGNUM THEATRE;Magnum Theatre;Lillbacka Powerco Oy;148;Puistotie 3, 62300 Härmä
Kauniainen;BIO GRANI;Bio Grani;?;137;Teinikuja 4, 02700 Kauniainen
Kaustinen;KINO KANSANTAITEENKESKUS;Kino Kansantaiteenkeskus;Kaustisen kunta;320;Jyväskyläntie 3, 69600 Kaustinen
Kemi;KINOPIRTTI;Kinopirtti 1;Bio Rex Cinemas Oy;249;Valtakatu 12, 94100 Kemi
Kemi;KINOPIRTTI;Kinopirtti 2;Bio Rex Cinemas Oy;70;Valtakatu 12, 94100 Kemi
Kemiönsaari;BIO PONY;Bio Pony;Kemiönsaaren kunta;168;Tallimäentie 4, 25900 Taalintehdas
Kemiönsaari;BIO FIX;Bio Fix;Kemiönsaaren kunta;247;Engelsbyntie 8, 25700 Kemiö
Keuruu;HAAPAMÄEN ELOKUVAT;Haapamäen Elokuvat;Haapamäen Pallo-Pojat ry;150;Pihlajavedentie 1A, 42800 Haapamäki
Kirkkonummi;KINO KIRKKONUMMI;Kino Kirkkonummi;?;112;Munkinmäentie 17, 02400 Kirkkonummi
Kitee;KINO-HOVI;Kino-Hovi;Savon Kinot Oy;207;Hovintie 6, 82500 Kitee
Kittilä;KINO YLÄRI;Kino Yläri;Kittilän kunta;144;Valtatie 9 A, 99100 Kittilä
Kittilä;LEVI SUMMIT;Levi Summit;Levin Luontokeskus;430;Tunturitie 205, 99130 Sirkka
Kokkola;BIO REX;Bio Rex 1;Bio Indola Kb ;208;Pitkänsillankatu 33, 67100 Kokkola
Kokkola;BIO REX;Bio Rex 2;Bio Indola Kb ;58;Pitkänsillankatu 33, 67100 Kokkola
Kolari, Äkäslompolo;KINO KELLOKAS;Kino Kellokas;Luontokeskus Kellokas ja Kolarin kunta;130;Tunturintie 54, 95974 Äkäslompolo
Konnevesi;NAVETTAKINO;Navettakino;Navettakino Ky;50;Pyhälahdentie 972, 44370 Konnevesi
Kotka;KINO PALATSI ;Kino Palatsi;Kotkan Leffat Ky;270;Keskuskatu 23, 48100 Kotka
Kotka;TRIO;Trio 1;Kotkan Leffat Ky;99;Keskuskatu 23, 48100 Kotka
Kotka;TRIO;Trio 2;Kotkan Leffat Ky;40;Keskuskatu 23, 48100 Kotka
Kotka;VIP-SALI;Vip-Sali;Kotkan Leffat Ky;22;Keskuskatu 23, 48100 Kotka
Kouvola;KINO 123;Kino 1;Kino 123 Oy;260; Tervasharjunkatu 1, 45720 Kouvola
Kouvola;KINO 123;Kino 2;Kino 123 Oy;96; Tervasharjunkatu 1, 45720 Kouvola
Kouvola;KINO 123;Kino 3;Kino 123 Oy;96; Tervasharjunkatu 1, 45720 Kouvola
