Tukityyppi nimi;Elokuvan lajityyppi;Tukihak päätöspvm;Esittelijä nimi;Tuenhakijan nimi;Tukihakemuksen kohde;Tukihakakemuksen päätöseur
Kulttuuriviennin matkatuki;;7.12.2011;Marja Pallassalo;Sorri Salla;Tataré (ohj: Salla Sorri) CPH:DOX 2011/Nordic:dox competition/Grand Teatret;430
Kulttuuriviennin matkatuki;;7.12.2011;Marja Pallassalo;Björklund Maria;Kesä Helsingissä (ohj: Maria Björklund) ohjaajan matkakuluihin Istanbul Animation Festivalille;480
Kulttuuriviennin matkatuki;;7.12.2011;Marja Pallassalo;Männistö Joni;Kuhina (ohj: Joni Männistö) ohjaajan matka Anilogue-festivaalille;320
Kulttuuriviennin matkatuki;;7.12.2011;Marja Pallassalo;Junkkonen Mervi;Jälki elämässä (ohj: Mervi Junkkonen), ohjaajan matkakuluihin CPH:DOX, nordic:dox;420
Kulttuuriviennin matkatuki;;7.12.2011;Marja Pallassalo;Kuosmanen Juho;Kathmandu (KIMFF);900
Kulttuuriviennin matkatuki;;7.12.2011;Marja Pallassalo;Indie Films Oy;Tango Finlandia (ohj: Hannu Lajunen, Tomi Riionheimo) Bukarestin kokeellisen elokuvan festivaaleille;1 000
Kulttuuriviennin matkatuki;;7.12.2011;Marja Pallassalo;Las Palmas Films Oy;Matka Clermont-Ferrandin lyhytelokuvafestivaaleille;1 100
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Oktober Oy;Indigenous Film Conference, Kautokeino, Norja;450
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Renvall Seppo;Seppo Renvallin ja ryhmän matka Kratkofil Plus IFF tilin 1523 purku laskut 40-4600-4601;718
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Luxian productions Oy;Red Forest Hotel (ohj: Mika Koskinen) työryhmän matkakuluihin IDFA;2 800
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Olsson Iris;dokleipzig ja nordic talents/sydämeni taakka;1 400
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Takala Päivi;Rumpu, ruokokitara ja Honda (ohj: P.Takala, K.Tuura) Afrikaeye, Bristol, Iso-Britannia;500
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Räsänen Jarkko;FixC New Yorkissa, Jarkko Räsäsen esiintymis- ja näytösmatka;600
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Lahtinen Sanni;Piirongin piiloissa (ohj: Sanni Lahtinen) ohjaajan matkakuluihin DOK-Leipzig;400
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Pohjankonna Oy;ERÄÄN HYÖNTEISEN TUHO (ohj: Hannes Vartiainen, Pekka Veikkolainen) ohjaajien matkakuluihin;9 700
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Cineparadiso Oy;Sielunsieppaaja (ohj: PV Lehtinen) ohjaajan ja päähenkilön matkakustannuksiin IDFA ja Cork;1 000
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Blind Spot Pictures Oy;Tokio Baby & Onnelliset läskit, tuottaja Merja Ritolan matkakuluihin Zagreb Film Festival;400
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Toiviainen Sattva-Hanna;Marian ilmestys (ohj: Eija-Liisa Ahtila) lavastaja Sattva-Hanna ToiviaisVenetsia 68. filmifestivaali;800
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Lampinen Timo;Seikkailija Saku (ohj: Timo Lampinen) ohjaajan matkakuluihin Chicagon kv-lastenelokuvafestivaalit;1 040
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Avanton Productions Oy;Five Star Existence (ohj: Sonja Lindén) työryhmän matkakuluihin IDFA;1 150
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Bronson Club Oy;Reindeerspotting (ohj: Joonas Neuvonen) ohjaajan matkakuluihin South by South West, Texas, Usa;1 100
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Filmimaa Oy;Aranda (ohj: Anu Kuivalainen) tuottaja Markku Tuurnan matkakuluhin DOK-Leipzig;650
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Kuivalainen Anu;Aranda (ohj: Anu Kuivalainen) ohjaajan matkakuluihin DOK-Leipzig;450
Kulttuuriviennin matkatuki;;26.10.2011;Marja Pallassalo;Avanton Productions Oy;Mina Laamon ja Sonja Lindénin Twelve for the Future -workshopin osallistumiskuluihin (Blogi);2 000
Kulttuuriviennin matkatuki;;12.10.2011;Jaana Puskala;Lehmuskallio Markku;Pariisin suomalaisen elokuvan viikko majoitukset;746
Kulttuuriviennin matkatuki;;12.10.2011;Jaana Puskala;Suhonen Laura;Pariisin suomalaisen elokuvan viikko / Laura Suhosen matka;292
Kulttuuriviennin matkatuki;;12.10.2011;Jaana Puskala;Lehmuskallio Markku;Pariisin suomalaisen elokuvan viikko - Markku Lehmuskallion matka;357
Kulttuuriviennin matkatuki;;12.10.2011;Jaana Puskala;Lapsui Anastasia;Pariisin suomalaisen elokuvan viikko - Anastasia Lapsuin lento;357
Kulttuuriviennin matkatuki;;26.9.2011;Jaana Puskala;Sputnik Oy;Le Havre Cannes matkakulut;3 858
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Cetinkaya Sadri;Reindeerspotting (ohj: Joonas Neuvonen) leikkaaja Sadri Cetinkaya, Open City, London 17.6.2011;130
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Guerilla Films Oy;Omaa luokkaansa (ohj: Iiris Härmä) Beldocs, Serbia 3.-7.5., China ICFF 30.5.-8.6.2011;1 300
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Reina Juan;Albino United (ohj 1/3: Juan Reina) Sheffield Film Festival 8.-12.6.2011;200
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;van Ingen sami;Stagecoach (ohj: Sami van Ingen) ohjaajan matkakuluihin Hamburg Short Film Festival 10.-13.6;340
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Kroma Productions Oy;Luonnotar, Deadline (ohj: Marikki Hakola) matkakuluihin Exchange and Evolution LA, Golden Prague;2 000
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Ryhänen Suvi;What's Up (ohj: Meruan Salim) leikkaajan ja säveltäjän matkakuluihin, NAFF, Bosnia-Hertsegovina;690
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Tuotantoyhtiö Eläväkuva Oy;Petri Luukkainen, Pasi Ylirisku Nordisk Forum Wildcard 2011;1 400
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Dokumenttikilta Ry;Dokumenttikillan matkakuluihin Message to man -festivaaleille 24.-29.9.2011 Pietarissa;2 500
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Zone2 Pictures Oy;Ukko ja akka (ohj: Markku Heikkinen) ohjaajan ja tuottajan matkakuluihin, Los Angeles ja Meksiko;2 900
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Saari Juha-Pekka;Soitto-oppilas (Learning to Play ohj: JP Saari), Austin Film Festival 2011, Texas, USA;1 000
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Hauru Hannaleena;We are not livine in a fucking hospital(o: Vappu Tuomisto) San Sebastian International Film Festival;700
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Penttilä Kaisa;Munaralli (ohj: Kaisa Penttilä) ohjaajan matkakuluihin Semafor-filmifestivaalille Lodziin Puolaan;340
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Ijäs Jan;Ghosts, Sweet Mov(i)e, L'alternativa Barcelona ja Guanajuato Int. Film festival, Mexico;1 300
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Oktober Oy;Miesten vuoro;1 500
Kulttuuriviennin matkatuki;;13.9.2011;Marja Pallassalo;Mouka Filmi Oy;Pitkä mies (ohj. Jani Peltonen) ohjaajan matkakuluihin Visions du réel, Melbourne IFF;3 000
Kulttuuriviennin matkatuki;;3.6.2011;Jaana Puskala;Seneca Oy;Sept fréres, Bryssel-Pariisi-Meknes (Marokko);1 500
Kulttuuriviennin matkatuki;;3.6.2011;Jaana Puskala;Illume Oy;Sukunsa viimeinen,;502
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;Ronkainen Mika;Huutajat - Screaming Men, ohjaajan matkakuluihin elokuvan ensi-iltaan Barcelonassa kesäkuussa 2011;480
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;Pettersson Joona;Radiostan, kuvaaja Joona Petterssonin matkakuluihin Sheffieldin elokuvafestivaaleille;700
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;Marianna Films Oy;Mama Africa, ohjaajan matkakuluihin Tribeca- ja Hot Docs festivaaleille;4 200
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;Halme Mia;Ikuisesti sinun, ohjaajan matkakuluihin Visions du réel -festivaaleille Nyoniin;280
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;Elokuvayhtiö Oy Aamu Ab;Taulukauppiaat, ohjaajan matkakuluihin Premiers Plans -elokuvafestivaaleille Angersiin;250
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;Muste ja Valo Oy;Isän poika (ohj: Leevi Lemmetty) ohjaajan matkakuluihin Annecyn elokuvajuhlille;280
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;DocPoint-elokuvatapahtumat ry;Ohjaajien matka- ja majoituskuluíhin DocPoint NYC -tapahtumaan New Yorkiin 8.-13.6.2011;3 500
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;Reina Juan;Albino United, ohjaajan matkakuluihin Sheffieldin festivaaleille;390
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;Filmimaa Oy;Salla - Selling the Silence, ohjaajan matkakulut Trento Film Festivalille.;500
Kulttuuriviennin matkatuki;;1.6.2011;Marja Pallassalo;Oy Millennium Film Ltd;ITOSeitti,Leipzig Int.Film Festival&Pärnu Int.Film Festival, Estonian People's Award;1 450
Kulttuuriviennin matkatuki;;27.4.2011;Marja Pallassalo;Seppänen Antti;Jäävuoren varjoon (ohj: Antti Seppänen) ohjaajan matkakuluihin elokuvafestivaaleille Urug;1 600
Kulttuuriviennin matkatuki;;27.4.2011;Jaana Puskala;Snapper Films Oy;Hella W -elokuvan kv-vienti;350
Kulttuuriviennin matkatuki;;26.4.2011;Marja Pallassalo;Elokuvaosuuskunta Camera Cagliostro;Anifest/ Teplice, Czech Republic;1 100
Kulttuuriviennin matkatuki;;26.4.2011;Marja Pallassalo;Hauru Hannaleena;Cannes Critics' Week 2011;300
Kulttuuriviennin matkatuki;;26.4.2011;Marja Pallassalo;Karttunen Atte;Sofia Filmini International Short Film Festival;400
Kulttuuriviennin matkatuki;;26.4.2011;Marja Pallassalo;Lahtinen Sanni;Kuka kehtaa? (ohj: Sanni Lahtinen) Annecyn animaatiofestivaali;300
Kulttuuriviennin matkatuki;;26.4.2011;Marja Pallassalo;Zone2 Pictures Oy;tuottaja/kuvaajan Clermont-Ferrand festivaalimatka;470
Kulttuuriviennin matkatuki;;26.4.2011;Marja Pallassalo;Cetinkaya Sadri;Reindeerspotting (ohj: Joonas Neuvonen) leikkaaja Sadric Cetinkayan m Europe beyond europe (Pariisi);240
Kulttuuriviennin matkatuki;;26.4.2011;Marja Pallassalo;Filmimaa Oy;Aranda (ohj: Anu Kuivalainen) Visions du réel -festivaali;2 200
Kulttuuriviennin matkatuki;;26.4.2011;Marja Pallassalo;Mutikainen Ina;Maa jossa voi leikkiä elämää (ohj: Sanni Priha) Internationale Kurzfilmtage Oberhausen;480
Kulttuuriviennin matkatuki;;26.4.2011;Marja Pallassalo;Saiyar Azar;Helsinki-Teheran (ohj: Azar Saiyar) ohjaajan matkakuluihin EMAF-festivaalille Osnabrückiin;160
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Olsson Iris;Berlinale talent campus;230
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Louhimies Aku;"Japanin suomalaisen elokuvan viikko; Aku Louhimiehen lentolippu";1 356
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Lehmuskallio Markku;Pudana-sukunsa viimeinen elokuvan festivaalit Ranskassa, Cinejeune & Manosque;1 294
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Karukoski Dome;Dome Karukosken festivaalivierailu Tel Aviviin, suomalaisen elokuvan viikkon huhtikuussa 2010;474
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Jörn Donner Productions Oy;Kuulustelu;3 650
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Härö Klaus;"Tokion suomalaisen elokuvan viikko; Klaus Härön lennot";1 597
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Hazard Kaarina;Kaarina Hazadin lennot Rouenin elokuvafestivaalille maaliskuussa 2010;306
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;First Floor Productions Oy;Valkoinen Peura, osall. Nordic Coproduction Forum Haugesundi;700
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Cinet Oy;Rare Exports;6 700
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Oy Bufo Ab;Kuulustelu;465
Kulttuuriviennin matkatuki;;28.3.2011;Jaana Puskala;Art Films production AFP Oy;Prinsessa/ Montreal;1 860
Kulttuuriviennin matkatuki;;17.3.2011;Marja Pallassalo;Kaurismäki Mika;Mama Africa (ohj: Mika Kaurismäki) ohjaajan matkakuluihin Berliinin elokuvajuhlille;1 900
Kulttuuriviennin matkatuki;;17.3.2011;Marja Pallassalo;4KRS films;Ruuhka (ohj: True / False Film Fest (3. - 6. 3.2011 Columbia, Missouri, USA);2 000
Kulttuuriviennin matkatuki;;17.3.2011;Marja Pallassalo;Elokuvaosuuskunta Elokas;Kv-kopioon ja ohjaajien matkakuluihin International Festival of Animated Film Stuttgart;1 100
Kulttuuriviennin matkatuki;;17.3.2011;Marja Pallassalo;Of Course My Films;Göringin sauva (ohj: Pia Andell) Go Short-lyhytelokuvafestivaali Nijmegen Hollanti;400
Kulttuuriviennin matkatuki;;17.3.2011;Marja Pallassalo;Honka Jussi;The Confession (ohj: Tanel Toom) äänisuunnittelija MPSE Golden Reel Awards, Los Angles, 20.2.2011;800
Kulttuuriviennin matkatuki;;17.2.2011;Marja Pallassalo;Oktober Oy;Miesten vuoro;2 000
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Karrento Johan;Liv;1 000
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Vuorinen Elli;Kielitiettyni Clermont-Ferrandissa;540
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Pettersson Joona;Radiostan, Clermont-Ferrand International Short Film Festival;660
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Niemi Katja;"""R"" NIIN KUIN REALDOLL/4th INTERNATIONAL STUDENT SHORT FILM FESTIVAL FICMÉC 2010,BEIRUT-LIBANON";440
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Punkki Pauliina;LIV (ohj: Johan Karrento) leikkaaja Pauliina Punkin matkakuluihin Cinequest Film Festival 1.-13;700
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Pohjankonna Oy;ERÄÄN HYÖNTEISEN TUHO (ohj: Hannes Vartiainen, Pekka Veikkolainen) ohjaajien matkakuluihin;6 700
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Hokkanen Jouni;KINBAKU (ohj: Jouni Hokkanen) ohjaajan majoituskuluihin Slamdance Film Festival 2011;800
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Kinotar Oy (vanha);POIKIEN BISNES (ohj: Markku Heikkinen) ohjaajan ja tuottaja Cilla Werningin matkakuluihin;6 000
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Illume Oy;LIIKKUMAVARA (ohj: Annika Grof) ohjaajan ja tuottaja Pertti Veijalaisen matkakuluihin Erasmus-palkin;800
Kulttuuriviennin matkatuki;;16.2.2011;Marja Pallassalo;Passi J-P;Käsikirjoittaja-kuvaaja J-P Passin matkakuluihin Torino Film Festivalille Italiaan 27.-30.11.2010.;400
Kulttuuriviennin matkatuki;;29.12.2010;Jaana Puskala;Knihtilä Elina;Haarautuvan rakkauden talo, elokuvan ensiesitys Washingtonissa, Knihtilän lentoliput;661
Kulttuuriviennin matkatuki;;16.12.2010;Jaana Puskala;Saarela Saara;Japanin suomi-elokuvaviikko, Saara Saarelan lentolippu;1 184
Kulttuuriviennin matkatuki;;16.12.2010;Jaana Puskala;Lehmuskallio Markku;Lapsui & Lehmuskallio retro Manowski festivaalilla, ohjaajien lentoliput;787
Kulttuuriviennin matkatuki;;16.12.2010;Jaana Puskala;Cantell Saara;Pariisin Suomi-elokuvaviikko, Cantell ja Nousiainen lentoliput;1 327
Kulttuuriviennin matkatuki;;15.12.2010;Jaana Puskala;Bergroth Zaida;Suomalaisen elokuvan viikko, Tukholma, ohjaajien Bergroth, Cantell, Saarela ja Soini lentoliput;695
Kulttuuriviennin matkatuki;;8.12.2010;Marja Pallassalo;Cetinkaya Sadri;REINDEERSPOTTING/ 1001 Istanbul Film Festival;400
Kulttuuriviennin matkatuki;;8.12.2010;Marja Pallassalo;Koiso-Kanttila Visa;Miehen kuva;500
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Indie Films Oy;TANGO FINLANDIA - MATKA-AVUSTUS TOMI RIIOHEIMO/IRIS-FEST/BRA;260
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Berghäll Joonas;Miesten vuoro;5 000
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Kaipainen Jyrki;Suomalaisen animaation sarja/Havanna/kuraattori J Kaipainen;1 000
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;napafilms oy;3 walls/DOKLeiptzig;470
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Rapo Jerko Petrus;3 WALLS/DOK LEIPZIG FEST - MATKA-AVUSTUS;320
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Koivumäki Juhani;Synti/Kassel Documentary Film and Video Festival/Saksa;300
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Korhonen Timo;Vasen vartaloon/Prix Europa/Berliini;670
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Nylund Anna-Sofia;A KOSOVO FAIRYTALE - KV MATKA-AVUSTUS LEIPZIG;200
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Reina Juan;Albino United - Amsterdamin kv. dokumenttielokuvafestivaali;770
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Suomi -Väänänen Maarit;koskee, korpee, sorsii - Amsterdamin kv. dok.elokuvafest. + kv-kopion valmistus;900
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Suominen Niina;HYVÄ MEININKI DOKLEIPZIG-FESTIVAALEILLE;820
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Nykyri Anna;huuto-kosketus-hiljaisuus/Uppsalan kv. lyhytelokuvafestivaalit;370
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Pedregal Alejandro;United We Stand;460
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Berghäll Joonas;Miesten vuoro;1 100
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Honkasalo Pirjo;Seitti - Kilvoittelijan päiväkirja;427
Kulttuuriviennin matkatuki;;27.10.2010;Marja Pallassalo;Purola Mika;EPÄILYKSEN VARJOSSA - KV MATKA-AVUSTUS LEIPZIG;1 000
Kulttuuriviennin matkatuki;;16.9.2010;Marja Pallassalo;Haanperä Jari;KV MATKA-AVUSTUS SUOMALAISTEN OSALLIST/NEUE BEWIRTSCHAFTUNG;3 000
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;Coleman Donagh;KIVILAITUMET-KV MATKA-AVUSTUS 3 festivaaleille;1 300
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;For Real Productions FRP Oy;VIIKKO ENNEN VAPPUA - KV-MATKA-AVUSTUS JA KOPION VALMISTUS;3 200
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;Lempiäinen Antti;3 WALLS - KV MATKA-AVUSTUS DOC-LEIPZIG-FEST SAKSA;210
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;Seppänen Antti;JÄÄVUOREN VARJOON - KV-MATKA-AVUSTUS SIEFF SARDINIA, ITALIA;450
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;Joutsi Laura;TREENILAJI - KV MATKA-AVUSTUS GIFFONIN ELOKUVAJUHLILLE NAPOL;400
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;4KRS films;RUUHKA - KV-MATKA-AVUSTUS BERLIINI;660
Kulttuuriviennin matkatuki;;15.9.2010;Jaana Puskala;Illume Oy;PUDANA-LAST OF THE LINE-LA ROCHELLE KV-MATKA-AVUSTUS;600
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;Bronson Club Oy;REINDEERSPOTTING - PAKO JOULUMAASTA - MATKA-AVUSTUS;4 200
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;For Real Productions FRP Oy;AUF WIEDERSEHEN FINNLAND - MATKA-AVUSTUS JA KOPION VALMISTUS;6 500
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;Naukkarinen Lasse;JOS MULLA OIS VALTAA - KV-MATKAHAK. ÅRHUSIIN;1 200
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;Oktober Oy;MIESTEN VUORO - KV-MATKA-AVUSTUS;12 000
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;Elokuvayhtiö Oy Aamu Ab;TAULUKAUPPIAAT - KV-MATKA-AVUSTUS NIZZAANJA KOPION VALMISTUS;20 000
Kulttuuriviennin matkatuki;;15.9.2010;Marja Pallassalo;Talvensaari Elina;MITEN MARJOJA POIMITAAN - KV MATKA-AVUSTUS VENETSIAN ELOK.JU;1 080
Kulttuuriviennin matkatuki;;17.3.2010;Jaana Puskala;Khalifa Amira;"MAATA MEREN ALLA;Hellstedt Lenka/GOA";122
Kulttuuriviennin matkatuki;;17.3.2010;Jaana Puskala;Sputnik Oy;"TULITIKKUTEHTAAN TYTTÖ;Kaurismäki Aki/Berlinare juhlanäytös";858
Kulttuuriviennin matkatuki;;9.2.2010;Marja Pallassalo;Hutri Eila;#NIMI?;520
Kulttuuriviennin matkatuki;;1.9.2009;Marja Pallassalo;Suomi -Väänänen Maarit;"JALKEILLA TAAS;Suomi-Väänänen Maarit;Montreal";1 330
Kulttuuriviennin muu tuki;;14.10.2015;Marja Pallassalo;Mouka Filmi Oy;Kovasikajuttu (ohj: Jukka Kärkkäinen ja JP Passi);6 774
Kulttuuriviennin muu tuki;;20.5.2015;Marja Pallassalo;van Ingen sami;Primäärit (ohj: Sami van Ingen) filmiperformanssi Britanniassa;1 380
Kulttuuriviennin muu tuki;;22.4.2015;Marja Pallassalo;Mouka Filmi Oy;Kovasikajuttu (ohj:Jukka Kärkkäinen, J-P Passi);10 604
Kulttuuriviennin muu tuki;;20.4.2015;Marja Pallassalo;FixC osuuskunta;Kansainvälinen esitys ja promo hanke;4 972
Kulttuuriviennin muu tuki;;22.1.2015;Jaana Puskala;Yksi Kaksi Filmi;Elokuvafestivaali YksiKaksiFilmi;31 648
Kulttuuriviennin muu tuki;;4.12.2014;Jaana Puskala;Siltala Aleksi;Pirjo Honkasalo: Armoton kauneus;2 500
Kulttuuriviennin muu tuki;;3.12.2014;Otto Suuronen;Animaation apupyörä ry;Huvipuisto-näyttelyn tuottaminen Tallinnaan;8 600
Kulttuuriviennin muu tuki;;3.12.2014;Otto Suuronen;Elokuvaosuuskunta Camera Cagliostro;Suomalaisen Kinokahvilan toimintaan 2015 Tsekin tasavallassa;3 000
Kulttuuriviennin muu tuki;;3.12.2014;Otto Suuronen;Illume Oy;Sokurovin ääni festivaaliensi-illan järjestäminen, ohj. Leena Kilpeläinen;2 150
Kulttuuriviennin muu tuki;;22.10.2014;Otto Suuronen;Dokumenttikilta Ry;Dokumenttikillan IDFA-kansainvälistymishanke;2 500
Kulttuuriviennin muu tuki;;19.9.2014;Jaana Puskala;Oy Bufo Ab;Betoniyön Oscar-kampanja;40 000
Kulttuuriviennin muu tuki;;18.9.2014;Marja Pallassalo;Twisted Films Oy;Ngihtsatan KV-vientituki;6 046
Kulttuuriviennin muu tuki;;16.5.2014;Marja Pallassalo;Jinx Oy;National Art Gallery, Washington;1 677
Kulttuuriviennin muu tuki;;2.4.2014;Marja Pallassalo;Elokuvaosuuskunta Camera Cagliostro;Suomalaisena animaation satavuotisjuhlan tapahtumat Tsekin tasavallassa.;4 000
Kulttuuriviennin muu tuki;;2.4.2014;Marja Pallassalo;Tampereen elokuvajuhlat ry;Who would buy this? -tapahtuman luennoitsijoiden matka- ja majoituskuluihin Tampereella;2 500
Kulttuuriviennin muu tuki;;2.4.2014;Marja Pallassalo;Suomen Taiteilijaseura ry;Parallax - kulttuurivientihanke, Laboratorio Arte Alameda, Mexico City;20 000
Kulttuuriviennin muu tuki;;4.2.2014;Marja Pallassalo;Tuffi Films Oy;Pitääkö mun kaikki hoitaa (ohj: Selma Vilhunen) elokuvan Oscar-kampanjointiin;60 000
Kulttuuriviennin muu tuki;;13.12.2013;Marja Pallassalo;Rastas Perttu;Spindrift;9 400
Kulttuuriviennin muu tuki;;13.12.2013;Marja Pallassalo;Tuffi Films Oy;Pitääkö mun...?-elokuvan Oscar-kampanjointi;10 000
Kulttuuriviennin muu tuki;;9.12.2013;Marja Pallassalo;DocPoint-elokuvatapahtumat ry;DocPoint Encounters;4 500
Kulttuuriviennin muu tuki;;23.10.2013;Marja Pallassalo;Klaffi Tuotannot Oy;Laulu koti-ikävästä (ohj: Mika Ronkainen);6 800
Kulttuuriviennin muu tuki;;23.10.2013;Marja Pallassalo;Unifilm Oy;Tavarataivas (ohj: Petri Luukkainen);5 500
Kulttuuriviennin muu tuki;;20.9.2013;Marja Pallassalo;Illume Oy;Kahdeksan surmanluotia (ohj: Mikko Niskanen) dcp-kopion valmistamiseen;16 500
Kulttuuriviennin muu tuki;;28.6.2013;Marja Pallassalo;Klaffi Tuotannot Oy;Laulu koti-ikävästä (ohj: Mika Ronkainen) elokuvan promootiojuhlien;16 000
Kulttuuriviennin muu tuki;;30.5.2013;Jaana Puskala;Finnish Film & Audiovisual Export;EFM 2013 Finnish Party;2 470
Kulttuuriviennin muu tuki;;30.5.2013;Jaana Puskala;Illume Oy;Matti Kassila DVD-boxi kulttuurivientiin;5 000
Kulttuuriviennin muu tuki;;29.5.2013;Marja Pallassalo;KurzFilmAgentur Hamburg e. V. Hampuri;Hampurin kansainväliset elokuvafestivaalit: Films from Sami – Indigenous Cinema From Europe.;3 000
Kulttuuriviennin muu tuki;;12.4.2013;Marja Pallassalo;Animaation apupyörä ry;Animaationäyttelyn järjestäminen Tokiossa;25 000
Kulttuuriviennin muu tuki;;25.2.2013;Marja Pallassalo;Mouka Filmi Oy;Kovasikajuttu (ohj: Jukka Kärkkäinen, J-P Passi) SXSW ja Thessaloniki;7 000
